scan_date,firm,ticker,gvkey,host,treatment_category,intensity_final,intensity_source,step4_scan_utc,robots_refetch_status,sitemap_url,sitemap_fetch_status,n_urls_before_host_filter,n_urls_after_host_filter,n_urls_dropped_by_host_filter,n_sitemap_urls,url_cap_hit,n_urls_dropped_by_cap,sitemaps_truncated,GPTBot_n_blocked,ClaudeBot_n_blocked,Google-Extended_n_blocked,CCBot_n_blocked,Meta-ExternalAgent_n_blocked,OAI-SearchBot_n_blocked,Claude-SearchBot_n_blocked,PerplexityBot_n_blocked,GPTBot_intensity,ClaudeBot_intensity,Google-Extended_intensity,CCBot_intensity,Meta-ExternalAgent_intensity,OAI-SearchBot_intensity,Claude-SearchBot_intensity,PerplexityBot_intensity,mean_treatment_intensity,max_treatment_intensity,exchg,fic,loc,naics,sic,fund_flag,at_2024,ceq_2024,che_2024,dlc_2024,dltt_2024,intan_2024,ppegt_2024,ni_2024,oibdp_2024,revt_2024,xrd_2024,capx_2024,csho_2024,emp_2024,prcc_f_2024,at_2025,ceq_2025,che_2025,dlc_2025,dltt_2025,intan_2025,ppegt_2025,ni_2025,oibdp_2025,revt_2025,xrd_2025,capx_2025,csho_2025,emp_2025,prcc_f_2025,log_at_2024,roa_2024,leverage_2024,cash_ratio_2024,rd_intensity_2024,intan_ratio_2024,mkcap_2024,log_mkcap_2024,log_at_2025,roa_2025,leverage_2025,cash_ratio_2025,rd_intensity_2025,intan_ratio_2025,mkcap_2025,log_mkcap_2025
2026-03-26,AMERICAN AIRLINES GROUP INC,AAL,1045,www.aa.com,partial_disallow,,partial_sitemap_error_na,2026-03-27T10:41:30.814714+00:00,ok_200,https://www.aa.com/pubcontent/en_US/sitemap/sitemap.xml,http_403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,USA,USA,481111.0,4512,0,61783.0,-3977.0,7716.0,6414.0,31130.0,6135.0,62068.0,846.0,5469.0,54211.0,,2683.0,657.566,133.3,17.43,61774.0,-3727.0,6571.0,5725.0,31159.0,6157.0,64823.0,111.0,3848.0,54633.0,,3779.0,660.301,139.1,15.33,11.03138352469794,0.013693087095155626,0.6076752504734312,0.12488872343524918,,0.09929915996309664,11461.37538,9.346737998774229,11.03123784294756,0.001796872470618707,0.5970796775342377,0.10637161265257228,,0.09966976397837278,10122.414330000001,9.222507484546224
2026-03-27,CECO ENVIRONMENTAL CORP,CECO,1050,www.cecoenviro.com,partial_disallow,0.0,partial_sitemap,2026-03-27T10:41:32.296334+00:00,ok_200,https://www.cecoenviro.com/sitemap_index.xml,ok,481.0,481.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,USA,USA,333413.0,3564,0,759.699,247.689,38.201,8.355,241.561,353.263,100.087,12.957,55.042,557.933,,17.368,34.978,1.6,30.23,893.769,317.528,33.227,6.521,233.52,394.834,106.477,50.051,77.214,774.381,,11.343,35.645,1.54,59.85,6.6329223021992405,0.017055439062049576,0.3289671304029622,0.05028438894878103,,0.46500390286152804,1057.3849400000001,6.963554101218366,6.795447352523512,0.055999928393130664,0.26857163316248384,0.03717627261630242,,0.4417629163687709,2133.35325,7.665450316573574
2026-03-27,PINNACLE WEST CAPITAL CORP,PNW,1075,www.pinnaclewest.com,allow,0.0,allow_zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,USA,USA,2211.0,4911,0,26102.76,6754.311,3.838,1468.817,9579.525,591.31,29624.266,608.806,1907.409,5124.915,,2297.465,119.097,6.403,84.77,30031.599,7046.458,6.604,1545.591,12754.041,575.978,33027.798,616.531,1982.973,5339.939,,2672.351,120.904,6.61,88.7,10.169796334846389,0.02332343399701794,0.4232633637209246,0.0001470342599786383,,0.022653160048975662,10095.85269,9.219879993747446,10.310005406313065,0.020529409706089907,0.47615286818394187,0.00021990171086128316,,0.019179065357126004,10724.1848,9.280256731583354
2026-03-26,PROG HOLDINGS INC,PRG,1076,progholdings.com,allow,0.0,allow_zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,USA,USA,522220.0,6141,0,1513.767,650.281,95.655,0.0,655.059,369.836,1208.185,197.249,1865.951,2463.496,,8.316,40.816,1.403,42.26,1610.408,746.417,308.774,0.0,602.124,353.835,1072.926,146.788,1822.099,2409.223,,10.042,39.576,1.235,29.49,7.322356525192351,0.13030340864875506,0.43273436400714244,0.0631900417963927,,0.24431501016999313,1724.88416,7.452915173587367,7.384242842023128,0.09114957203391937,0.37389531100193246,0.19173650404121192,,0.21971761193436695,1167.0962399999999,7.062274096752592
2026-03-26,ABBOTT LABORATORIES,ABT,1078,www.abbott.com,partial_disallow,0.0,partial_sitemap,2026-03-27T10:41:39.772415+00:00,ok_200,http://www.abbott.com/en-us/sitemap.xml,ok,1237.0,1237.0,0.0,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,USA,USA,334510.0,3845,0,81414.0,47664.0,7967.0,1754.0,13521.0,29755.0,23815.0,13402.0,10272.0,41950.0,2844.0,2207.0,1731.698,114.0,113.11,86713.0,52130.0,8939.0,3309.0,10827.0,29561.0,26348.0,6524.0,11675.0,44328.0,2942.0,2171.0,1736.599,115.0,125.29,11.307302527374008,0.1646154224089223,0.18762129363500135,0.09785786228412803,0.03493256688038912,0.36547768197115976,195872.36078000002,12.18521850556627,11.370359093858278,0.07523670037941255,0.16302053901952418,0.10308719569153414,0.03392801540714772,0.34090620783504205,217578.48871,12.290314932045996
2026-03-27,MORGUARD CORP,MRCBF,1096,www.morguard.com,partial_disallow,0.0,partial_sitemap,2026-03-27T10:41:44.563006+00:00,ok_200,https://www.morguard.com/wp-sitemap.xml,ok,177.0,177.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,CAN,CAN,5311.0,6510,0,11759.428,4292.423,140.725,948.554,4488.683,34.485,11180.048,261.799,538.075,1127.083,,232.767,10.721,,116.32,11842.378,4385.453,184.618,1280.518,4176.505,34.0,11226.433,174.87,528.973,1123.582,,223.832,10.678,,116.0,9.372410580813899,0.022262902583356944,0.46237257458441006,0.011966993632683495,,0.00293254059636234,1247.06672,7.128549448659312,9.379439732866016,0.014766459912021048,0.4608046627121681,0.015589605398510332,,0.002871044987754993,1238.6480000000001,7.12177574118436
2026-03-26,ACME UNITED CORP,ACU,1104,www.acmeunited.com,allow,0.0,allow_zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,USA,USA,339113.0,3842,0,162.17,106.981,6.399,2.001,30.84,30.231,65.387,10.022,20.208,194.49,,7.148,3.754,0.633,37.33,170.998,117.611,3.596,1.9,26.817,29.381,77.881,10.184,21.071,196.542,,10.652,3.807,0.649,40.31,5.088645167731283,0.0617993463649257,0.2025097120305852,0.03945859283467966,,0.18641548991798731,140.13682,4.942619231090809,5.141651860527829,0.05955625211990784,0.16793763669750525,0.02102948572497924,,0.1718207230493924,153.46017,5.033441054529435
2026-03-26,ADAMS DIVERSIFIED EQUITY FD,ADX,1119,www.adamsfunds.com,allow,0.0,allow_zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,USA,USA,525990.0,6726,1,,,,,,,,,,,,,112.69,,20.2,,,,,,,,,,,,,121.337,,23.32,,,,,,,2276.3379999999997,7.730323290371417,,,,,,,2829.57884,7.947883159774534
2026-03-26,ADVANCED MICRO DEVICES,AMD,1161,www.amd.com,partial_disallow,0.002935,partial_sitemap,2026-03-27T10:41:54.839802+00:00,ok_200,https://www.amd.com/en.sitemap.xml,ok,32026.0,32026.0,0.0,32026.0,0.0,0.0,0.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,0.002935,0.002935,0.002935,0.002935,0.002935,0.002935,0.002935,0.002935,0.002935,0.002935,14.0,USA,USA,334413.0,3674,0,69226.0,57568.0,5156.0,109.0,2212.0,43769.0,4598.0,1641.0,5138.0,25785.0,6456.0,636.0,1622.0,28.0,120.79,76926.0,62999.0,10569.0,1033.0,2973.0,41831.0,4928.0,4335.0,7089.0,34639.0,8091.0,974.0,1630.0,31.0,214.16,11.145131793583074,0.02370496634212579,0.033527865252939645,0.07448068644728859,0.09325975789443272,0.6322624447461936,195921.38,12.185468735292545,11.250599199780755,0.056352858591373525,0.05207602111119777,0.13739177911239372,0.10517900319787848,0.5437823362712217,349080.8,12.763058693012905
2026-03-26,ASM INTERNATIONAL NV,ASMIY,1166,www.asm.com,allow,0.0,allow_zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,NLD,NLD,333242.0,3559,0,5344.201,3879.478,959.218,12.084,24.421,1177.056,1099.919,709.949,1033.755,3036.286,382.877,173.824,49.098,4.558,578.636,6266.308,4703.312,1205.709,,75.144,1569.102,,849.715,1396.034,3725.735,480.218,256.546,48.881,,607.897,8.583767326784606,0.13284474143094543,0.006830768528354378,0.1794876352891667,0.07164345053638514,0.2202492009563263,28409.870327999997,10.254491910529476,8.742942624469448,0.13560058011830892,0.01199175016612653,0.19241138482181216,0.07663491804105384,0.2504029485942919,29714.613257,10.299394232639504
